ID_ученика,Класс,Район,Средний_балл,Часы_самоподготовки_в_неделю,Посещаемость_%,Уверенность_в_себе,Уровень_стресса_перед_экзаменом,Пропущенные_дни,Тип_школы,Рез_экзамена,Индекс_качества_школы,Стабильность_преподавателей,Доступ_к_ресурсам,Образовательная_среда
31,11,Шохмансур,3.843,5,68.995,4.0,5.0,14,Обычная школа,0,0.2408,0.1285,0.0411,0.3016
32,11,Фирдавси,4.229,14,79.944,7.0,3.0,11,Обычная школа,1,0.5694,0.5108,0.4019,0.5513
33,11,Сино,3.651,8,75.658,2.0,6.0,9,Обычная школа,0,0.3189,0.1675,0.2034,0.3297
34,11,Сино,4.088,10,77.146,4.0,5.0,12,Обычная школа,0,0.4579,0.3482,0.4658,0.2544
35,11,Исмоили Сомони,3.836,16,86.277,3.0,6.0,10,Обычная школа,1,0.2479,0.0349,0.2542,0.2971
36,11,Сино,4.213,15,81.709,6.0,6.0,10,Лицей/гимназия,0,0.4558,0.3725,0.3683,0.2274
37,11,Сино,4.254,13,84.94,3.0,6.0,7,Обычная школа,1,0.3753,0.2491,0.5663,0.1934
38,11,Сино,3.843,11,77.298,4.0,6.0,13,Обычная школа,0,0.4119,0.4157,0.1233,0.4283
39,11,Исмоили Сомони,4.163,18,93.258,5.0,5.0,7,Обычная школа,1,0.4842,0.2772,0.3096,0.6453
40,11,Сино,4.504,25,93.302,6.0,5.0,1,Лицей/гимназия,1,0.5481,0.4594,0.4244,0.6333
41,11,Шохмансур,3.272,8,75.711,1.0,7.0,14,Обычная школа,0,0.1722,0.255,0.0895,0.188
42,11,Сино,4.377,11,75.556,5.0,4.0,10,Лицей/гимназия,1,0.2867,0.1641,0.163,0.4359
43,11,Исмоили Сомони,4.405,19,87.886,7.0,3.0,6,Лицей/гимназия,1,0.6052,0.5706,0.5189,0.5327
44,11,Исмоили Сомони,3.871,12,76.577,5.0,5.0,8,Обычная школа,0,0.4729,0.2762,0.2634,0.4731
45,11,Исмоили Сомони,4.098,16,79.806,5.0,6.0,10,Обычная школа,1,0.5747,0.4024,0.7184,0.2934
46,11,Исмоили Сомони,4.112,8,74.296,6.0,4.0,13,Обычная школа,1,0.4455,0.418,0.4054,0.524
47,11,Фирдавси,4.444,20,84.572,6.0,5.0,9,Лицей/гимназия,1,0.5125,0.3691,0.7516,0.4258
48,11,Фирдавси,4.066,12,78.938,4.0,6.0,10,Обычная школа,0,0.303,0.1925,0.2906,0.3157
49,11,Шохмансур,4.185,15,79.752,5.0,5.0,8,Обычная школа,1,0.5478,0.3167,0.5393,0.5956
50,11,Исмоили Сомони,3.941,13,77.513,5.0,6.0,7,Обычная школа,1,0.4108,0.2141,0.3296,0.2927
51,11,Исмоили Сомони,4.068,17,82.728,5.0,4.0,6,Обычная школа,0,0.3795,0.1946,0.413,0.5155
52,11,Шохмансур,4.548,13,82.387,5.0,3.0,13,Лицей/гимназия,1,0.4008,0.1348,0.5394,0.4796
53,11,Исмоили Сомони,4.464,5,73.026,6.0,4.0,15,Лицей/гимназия,1,0.6072,0.304,0.4826,0.4737
54,11,Сино,4.24,15,78.941,5.0,4.0,9,Лицей/гимназия,0,0.5513,0.2548,0.48,0.419
55,11,Исмоили Сомони,3.99,12,75.732,4.0,4.0,11,Лицей/гимназия,1,0.3635,0.35,0.3643,0.3741
56,11,Фирдавси,3.715,6,72.918,3.0,5.0,11,Обычная школа,1,0.2345,0.1262,0.0,0.1517
57,11,Шохмансур,3.235,10,67.45,2.0,7.0,16,Обычная школа,0,0.1252,0.2166,0.1458,0.4592
58,11,Сино,4.031,18,80.303,5.0,5.0,11,Обычная школа,1,0.4154,0.2288,0.3223,0.3743
59,11,Сино,4.033,14,79.179,5.0,5.0,11,Обычная школа,1,0.4151,0.4088,0.3899,0.488
60,11,Фирдавси,4.292,14,77.194,5.0,4.0,12,Лицей/гимназия,0,0.4571,0.2285,0.2482,0.3186
61,11,Фирдавси,3.226,7,68.428,2.0,7.0,15,Обычная школа,0,0.1123,0.1928,0.1378,0.1779
62,11,Фирдавси,3.725,12,76.807,3.0,6.0,6,Обычная школа,0,0.2822,0.2026,0.2503,0.3752
63,11,Фирдавси,4.317,13,77.275,5.0,4.0,13,Лицей/гимназия,1,0.4856,0.2267,0.5501,0.5008
64,11,Исмоили Сомони,3.963,9,74.882,5.0,6.0,13,Обычная школа,0,0.3898,0.312,0.1979,0.5191
65,11,Шохмансур,4.421,13,81.054,5.0,4.0,10,Обычная школа,1,0.6863,0.4037,0.313,0.4224
66,11,Фирдавси,4.169,16,82.7,4.0,5.0,8,Обычная школа,1,0.3745,0.2045,0.2581,0.5167
67,11,Исмоили Сомони,3.965,5,67.413,4.0,6.0,13,Обычная школа,1,0.369,0.1227,0.3527,0.3554
68,11,Шохмансур,3.188,7,73.911,1.0,7.0,17,Обычная школа,0,0.2407,0.1102,0.1581,0.238
69,11,Исмоили Сомони,3.503,17,87.067,3.0,7.0,6,Обычная школа,0,0.2264,0.0788,0.3169,0.2977
70,11,Сино,4.138,13,85.495,6.0,5.0,10,Обычная школа,1,0.4477,0.2256,0.1788,0.5363
71,11,Сино,3.659,22,90.289,3.0,6.0,6,Обычная школа,0,0.4345,0.4269,0.2538,0.3027
72,11,Сино,3.47,8,72.787,4.0,5.0,12,Обычная школа,0,0.2059,0.3413,0.3214,0.1944
73,11,Сино,4.053,14,77.801,6.0,5.0,10,Лицей/гимназия,0,0.4943,0.2548,0.3249,0.4006
74,11,Сино,4.754,11,76.092,7.0,4.0,11,Лицей/гимназия,1,0.6285,0.4929,0.8545,0.7183
75,11,Исмоили Сомони,3.568,10,79.213,4.0,6.0,14,Обычная школа,0,0.3602,0.4022,0.4124,0.2783
76,11,Фирдавси,3.773,3,70.496,3.0,6.0,13,Обычная школа,0,0.279,0.0922,0.5627,0.4361
77,11,Исмоили Сомони,4.042,10,80.729,4.0,6.0,12,Обычная школа,1,0.5368,0.3754,0.5104,0.1643
78,11,Исмоили Сомони,4.09,14,80.429,5.0,5.0,10,Обычная школа,0,0.4505,0.3915,0.292,0.5605
79,11,Шохмансур,3.743,12,79.946,5.0,5.0,10,Обычная школа,0,0.4361,0.4238,0.2423,0.3202
80,11,Фирдавси,3.881,10,76.193,4.0,7.0,13,Обычная школа,0,0.4565,0.3693,0.2996,0.4277
81,11,Исмоили Сомони,4.287,6,77.314,5.0,4.0,11,Лицей/гимназия,1,0.5516,0.447,0.5233,0.4544
82,11,Шохмансур,3.928,10,79.359,4.0,5.0,11,Обычная школа,1,0.4217,0.1441,0.4698,0.2774
83,11,Фирдавси,3.767,13,80.108,3.0,7.0,12,Обычная школа,1,0.3779,0.2108,0.3942,0.3186
84,11,Шохмансур,4.416,11,79.434,5.0,4.0,12,Лицей/гимназия,1,0.5338,0.2518,0.2826,0.4899
85,11,Исмоили Сомони,4.228,9,77.226,3.0,7.0,11,Обычная школа,0,0.3888,0.2328,0.2256,0.2107
86,11,Исмоили Сомони,3.71,13,84.144,4.0,5.0,8,Обычная школа,0,0.3503,0.2215,0.233,0.4313
87,11,Исмоили Сомони,4.586,11,76.06,7.0,3.0,10,Лицей/гимназия,1,0.536,0.3101,0.6437,0.4306
88,11,Шохмансур,3.866,14,76.409,4.0,5.0,12,Обычная школа,0,0.4173,0.2696,0.4223,0.5298
89,11,Шохмансур,4.536,15,78.89,4.0,4.0,8,Лицей/гимназия,0,0.6965,0.4468,0.6533,0.4738
90,11,Исмоили Сомони,4.038,11,79.531,6.0,5.0,9,Лицей/гимназия,1,0.4706,0.3623,0.3666,0.5872
91,11,Фирдавси,3.889,8,72.593,3.0,7.0,12,Обычная школа,0,0.2364,0.0,0.0,0.4262
92,11,Шохмансур,3.596,13,80.73,1.0,7.0,6,Обычная школа,1,0.3175,0.2677,0.1945,0.4451
93,11,Фирдавси,4.407,15,81.767,5.0,5.0,10,Лицей/гимназия,0,0.7208,0.4297,0.3887,0.3868
94,11,Исмоили Сомони,4.163,4,76.933,5.0,6.0,13,Обычная школа,1,0.4269,0.3892,0.3601,0.3337
95,11,Фирдавси,4.056,12,77.36,5.0,5.0,11,Обычная школа,0,0.2993,0.2776,0.3458,0.3925
96,11,Шохмансур,3.34,5,67.167,2.0,7.0,11,Обычная школа,0,0.1794,0.228,0.3465,0.3175
97,11,Шохмансур,3.975,9,74.171,3.0,6.0,13,Обычная школа,0,0.3478,0.2494,0.0553,0.2507
98,11,Фирдавси,3.846,14,80.631,3.0,7.0,9,Обычная школа,1,0.24,0.1698,0.2335,0.1825
99,11,Шохмансур,3.684,7,76.371,2.0,6.0,8,Обычная школа,0,0.3775,0.3518,0.3232,0.1444
100,11,Исмоили Сомони,3.962,11,78.495,5.0,4.0,11,Обычная школа,1,0.3321,0.0399,0.4598,0.4941
101,11,Шохмансур,3.959,10,77.31,4.0,6.0,11,Обычная школа,0,0.306,0.2358,0.3401,0.1949
102,11,Сино,3.947,11,72.643,5.0,5.0,12,Обычная школа,1,0.4318,0.3145,0.302,0.2662
103,11,Шохмансур,3.877,9,76.05,4.0,6.0,14,Обычная школа,0,0.3032,0.4179,0.1649,0.3319
104,11,Сино,4.401,14,85.672,7.0,4.0,9,Лицей/гимназия,1,0.3059,0.4049,0.3772,0.5255
105,11,Сино,4.356,17,86.654,5.0,6.0,5,Обычная школа,0,0.3312,0.2609,0.1829,0.3018
106,11,Фирдавси,4.066,11,71.545,4.0,7.0,14,Обычная школа,0,0.2563,0.1649,0.4088,0.2892
107,11,Фирдавси,3.971,13,85.041,3.0,6.0,11,Обычная школа,0,0.5114,0.1233,0.4283,0.6857
108,11,Фирдавси,4.545,13,79.038,5.0,4.0,13,Лицей/гимназия,1,0.5093,0.3856,0.5656,0.373
109,11,Фирдавси,4.095,12,82.843,5.0,6.0,8,Обычная школа,0,0.5551,0.3777,0.348,0.4054
110,11,Сино,4.015,10,79.447,5.0,5.0,14,Лицей/гимназия,1,0.3484,0.1841,0.3325,0.2976
111,11,Шохмансур,3.647,7,77.251,4.0,7.0,11,Обычная школа,0,0.3546,0.2497,0.2437,0.23
112,11,Фирдавси,3.797,11,74.86,4.0,7.0,11,Обычная школа,0,0.2907,0.2267,0.431,0.3589
113,11,Сино,4.175,14,79.814,5.0,5.0,7,Обычная школа,1,0.371,0.1853,0.4308,0.6038
114,11,Фирдавси,4.519,17,87.195,8.0,3.0,5,Лицей/гимназия,1,0.5894,0.2952,0.3903,0.5335
115,11,Шохмансур,4.252,12,74.501,6.0,3.0,13,Лицей/гимназия,0,0.4477,0.4026,0.5161,0.5675
116,11,Исмоили Сомони,3.541,2,71.285,3.0,8.0,12,Обычная школа,1,0.2803,0.1222,0.3012,0.2551
117,11,Сино,4.468,20,89.702,6.0,5.0,7,Лицей/гимназия,1,0.5395,0.3385,0.3765,0.5263
118,11,Исмоили Сомони,3.951,10,81.087,5.0,6.0,12,Обычная школа,1,0.4162,0.0948,0.2696,0.4446
119,11,Шохмансур,4.141,11,79.191,4.0,5.0,10,Обычная школа,1,0.425,0.2072,0.3577,0.2812
120,11,Фирдавси,3.772,13,77.966,4.0,7.0,11,Обычная школа,1,0.3042,0.1393,0.271,0.3879
121,11,Фирдавси,3.723,11,75.55,3.0,6.0,6,Обычная школа,0,0.1835,0.1897,0.2381,0.2993
122,11,Фирдавси,4.143,18,84.299,5.0,5.0,8,Обычная школа,1,0.5073,0.406,0.3245,0.4803
123,11,Исмоили Сомони,4.462,19,86.076,6.0,5.0,7,Лицей/гимназия,1,0.5311,0.3337,0.4449,0.507
124,11,Шохмансур,3.979,9,79.043,3.0,5.0,15,Обычная школа,0,0.4633,0.3683,0.48,0.2578
125,11,Шохмансур,4.437,14,79.434,6.0,5.0,5,Лицей/гимназия,1,0.5714,0.3096,0.5245,0.3988
126,11,Шохмансур,3.588,6,68.593,1.0,7.0,12,Обычная школа,0,0.2605,0.3014,0.0,0.17
127,11,Исмоили Сомони,4.024,12,78.741,6.0,5.0,16,Лицей/гимназия,0,0.4242,0.2456,0.2786,0.2347
128,11,Сино,4.914,11,79.58,7.0,4.0,11,Лицей/гимназия,1,0.7052,0.6461,0.5695,0.5769
129,11,Сино,4.469,5,77.819,6.0,6.0,10,Обычная школа,1,0.4753,0.3752,0.3709,0.6995
130,11,Шохмансур,3.919,12,81.005,4.0,7.0,9,Обычная школа,0,0.3363,0.1396,0.2986,0.1474
131,11,Исмоили Сомони,4.443,10,77.522,7.0,4.0,12,Лицей/гимназия,1,0.6161,0.3723,0.7317,0.3992
132,11,Сино,4.561,13,83.677,7.0,4.0,8,Лицей/гимназия,1,0.5513,0.3567,0.4338,0.594
133,11,Фирдавси,3.902,11,78.376,4.0,8.0,12,Обычная школа,1,0.443,0.3791,0.323,0.3357
134,11,Фирдавси,4.65,13,83.698,6.0,4.0,7,Лицей/гимназия,1,0.5262,0.3853,0.5479,0.4008
135,11,Сино,3.931,15,79.221,5.0,5.0,10,Обычная школа,1,0.4911,0.2819,0.4601,0.3246
136,11,Сино,4.24,14,84.313,4.0,5.0,9,Лицей/гимназия,1,0.3823,0.1632,0.4987,0.3833
137,11,Фирдавси,3.966,18,86.245,5.0,4.0,7,Обычная школа,1,0.5323,0.2998,0.4437,0.355
138,11,Исмоили Сомони,4.42,14,78.943,5.0,3.0,12,Лицей/гимназия,1,0.4304,0.3287,0.5127,0.5081
139,11,Исмоили Сомони,3.479,4,72.119,4.0,6.0,14,Обычная школа,0,0.3102,0.3359,0.1383,0.4497
140,11,Исмоили Сомони,4.247,13,80.545,5.0,4.0,11,Лицей/гимназия,1,0.4668,0.2463,0.3233,0.418
141,11,Фирдавси,4.042,7,69.923,4.0,6.0,13,Обычная школа,1,0.378,0.0441,0.2654,0.2288
142,11,Исмоили Сомони,4.272,14,80.453,5.0,3.0,10,Лицей/гимназия,0,0.5344,0.2381,0.3923,0.5507
143,11,Исмоили Сомони,4.342,12,81.149,4.0,5.0,7,Обычная школа,1,0.4889,0.3006,0.3658,0.3867
144,11,Исмоили Сомони,4.359,9,79.303,4.0,4.0,11,Лицей/гимназия,1,0.3829,0.2744,0.5281,0.4155
145,11,Шохмансур,3.905,14,80.14,4.0,5.0,9,Обычная школа,1,0.3035,0.0692,0.3552,0.3594
146,11,Исмоили Сомони,4.197,16,82.305,6.0,5.0,5,Лицей/гимназия,1,0.5461,0.1556,0.406,0.5269
147,11,Фирдавси,4.097,13,80.145,5.0,6.0,8,Обычная школа,1,0.3359,0.0192,0.4644,0.2287
148,11,Шохмансур,4.346,17,90.796,6.0,5.0,5,Лицей/гимназия,1,0.5355,0.3162,0.3645,0.4636
149,11,Фирдавси,4.592,6,69.153,6.0,5.0,15,Обычная школа,0,0.4787,0.3936,0.5459,0.4597
150,11,Фирдавси,3.814,7,70.888,4.0,6.0,10,Обычная школа,0,0.438,0.3846,0.4346,0.3497
151,11,Шохмансур,4.369,16,85.91,6.0,5.0,13,Лицей/гимназия,1,0.3291,0.2368,0.1662,0.4197
152,11,Исмоили Сомони,4.151,20,85.199,4.0,3.0,9,Лицей/гимназия,1,0.6087,0.4595,0.4759,0.4245
153,11,Шохмансур,3.716,4,68.153,4.0,7.0,17,Обычная школа,0,0.4202,0.2097,0.3913,0.3395
154,11,Исмоили Сомони,4.132,15,85.584,5.0,2.0,9,Лицей/гимназия,0,0.5437,0.2987,0.3322,0.5985
155,11,Фирдавси,4.085,20,86.259,6.0,4.0,9,Лицей/гимназия,1,0.5036,0.1875,0.2957,0.4599
156,11,Фирдавси,4.163,8,71.084,5.0,5.0,14,Обычная школа,1,0.3756,0.2625,0.2623,0.3948
157,11,Фирдавси,4.122,8,74.009,4.0,5.0,11,Обычная школа,1,0.3955,0.1777,0.1241,0.1251
158,11,Сино,3.832,9,78.725,5.0,6.0,10,Обычная школа,0,0.3087,0.2702,0.2937,0.1554
159,11,Шохмансур,4.37,5,71.241,7.0,6.0,18,Лицей/гимназия,1,0.5351,0.2966,0.4505,0.4437
160,11,Исмоили Сомони,3.917,11,77.216,5.0,5.0,14,Обычная школа,0,0.3649,0.2246,0.311,0.2965
161,11,Исмоили Сомони,4.536,15,83.72,6.0,4.0,13,Лицей/гимназия,1,0.5942,0.1979,0.2569,0.5356
162,11,Исмоили Сомони,4.093,10,73.504,4.0,5.0,12,Обычная школа,0,0.4576,0.1704,0.4393,0.5347
163,11,Сино,4.125,14,78.956,5.0,5.0,10,Обычная школа,0,0.4662,0.1143,0.4768,0.3388
164,11,Шохмансур,3.569,4,71.803,5.0,6.0,10,Обычная школа,0,0.2901,0.0722,0.1753,0.2514
165,11,Фирдавси,4.387,13,78.598,5.0,5.0,9,Лицей/гимназия,1,0.6011,0.3049,0.6599,0.4597
166,11,Сино,3.991,15,86.267,6.0,5.0,6,Обычная школа,0,0.5966,0.2607,0.4795,0.5072
167,11,Шохмансур,3.826,10,79.672,3.0,6.0,12,Обычная школа,0,0.3395,0.0,0.4087,0.3399
168,11,Исмоили Сомони,4.443,11,75.944,6.0,5.0,11,Обычная школа,1,0.4221,0.23,0.3655,0.4565
169,11,Шохмансур,4.287,12,80.174,3.0,5.0,9,Обычная школа,1,0.5008,0.2494,0.5058,0.3022
170,11,Сино,4.956,13,78.983,6.0,2.0,9,Лицей/гимназия,1,0.673,0.2439,0.5972,0.4637
171,11,Сино,3.737,13,79.402,2.0,6.0,9,Обычная школа,0,0.3168,0.0651,0.2418,0.4508
172,11,Фирдавси,4.129,9,76.078,3.0,5.0,8,Обычная школа,0,0.3093,0.089,0.4594,0.3107
173,11,Шохмансур,4.324,14,80.725,4.0,5.0,11,Обычная школа,1,0.4915,0.2848,0.523,0.3554
174,11,Исмоили Сомони,3.078,12,75.932,2.0,7.0,13,Обычная школа,0,0.0516,0.0,0.2813,0.374
175,11,Исмоили Сомони,3.793,8,76.983,4.0,5.0,10,Обычная школа,0,0.3342,0.0954,0.2178,0.4591
176,11,Шохмансур,3.957,6,70.112,4.0,6.0,17,Обычная школа,0,0.3023,0.3227,0.2605,0.3186
177,11,Шохмансур,3.546,10,73.784,4.0,7.0,11,Обычная школа,1,0.2128,0.1532,0.0485,0.3834
178,11,Фирдавси,3.494,5,69.014,3.0,7.0,14,Обычная школа,0,0.3069,0.1034,0.2318,0.1785
179,11,Шохмансур,3.352,7,72.52,2.0,8.0,15,Обычная школа,0,0.2583,0.3133,0.2851,0.2501
180,11,Исмоили Сомони,4.35,17,83.755,5.0,3.0,8,Лицей/гимназия,1,0.6194,0.4113,0.6447,0.3901
181,11,Исмоили Сомони,4.425,13,77.326,5.0,5.0,12,Лицей/гимназия,0,0.3437,0.264,0.3537,0.3893
182,11,Исмоили Сомони,4.147,4,68.14,6.0,4.0,18,Обычная школа,1,0.5079,0.4735,0.4494,0.4242
183,11,Исмоили Сомони,4.784,14,84.371,6.0,3.0,10,Лицей/гимназия,1,0.6241,0.2946,0.6043,0.5935
184,11,Фирдавси,4.463,17,86.129,3.0,4.0,4,Обычная школа,1,0.4044,0.1361,0.3022,0.3967
185,11,Шохмансур,3.67,11,78.395,3.0,6.0,14,Обычная школа,1,0.2213,0.0,0.0872,0.2007
186,11,Исмоили Сомони,4.368,14,83.038,5.0,3.0,13,Лицей/гимназия,1,0.4063,0.2823,0.4691,0.5647
187,11,Исмоили Сомони,4.338,17,90.192,5.0,5.0,8,Обычная школа,1,0.6235,0.5158,0.4891,0.63
188,11,Исмоили Сомони,4.028,13,81.538,4.0,5.0,12,Обычная школа,1,0.3722,0.4064,0.2757,0.4422
189,11,Шохмансур,3.823,17,81.308,5.0,6.0,10,Обычная школа,0,0.4679,0.2304,0.2359,0.3737
190,11,Фирдавси,4.4,19,87.675,4.0,4.0,7,Обычная школа,1,0.5924,0.494,0.506,0.3149
191,11,Шохмансур,4.061,15,76.357,5.0,5.0,11,Обычная школа,1,0.4747,0.0872,0.656,0.3261
192,11,Исмоили Сомони,3.73,13,80.163,4.0,6.0,13,Обычная школа,1,0.2794,0.3842,0.1431,0.3916
193,11,Исмоили Сомони,4.091,14,76.766,5.0,5.0,7,Обычная школа,1,0.4248,0.4222,0.3187,0.342
194,11,Исмоили Сомони,3.995,9,75.585,4.0,5.0,11,Обычная школа,1,0.2828,0.091,0.3078,0.3228
195,11,Шохмансур,3.674,6,67.809,3.0,7.0,15,Обычная школа,0,0.2162,0.2514,0.3039,0.2881
196,11,Сино,3.42,9,77.913,3.0,6.0,9,Обычная школа,0,0.1089,0.0444,0.0799,0.2557
197,11,Исмоили Сомони,4.409,14,81.206,6.0,5.0,11,Лицей/гимназия,0,0.5256,0.2479,0.4959,0.3449
198,11,Исмоили Сомони,3.849,14,78.987,4.0,5.0,8,Обычная школа,1,0.3994,0.1705,0.2419,0.2445
199,11,Исмоили Сомони,3.595,8,70.073,3.0,8.0,15,Обычная школа,0,0.2386,0.0713,0.2012,0.1519
200,11,Исмоили Сомони,4.583,10,78.102,6.0,4.0,10,Лицей/гимназия,1,0.5958,0.3525,0.7276,0.3742
201,11,Исмоили Сомони,4.28,6,69.652,6.0,5.0,17,Лицей/гимназия,1,0.4643,0.2626,0.4432,0.5415
202,11,Шохмансур,3.675,15,84.407,4.0,6.0,7,Обычная школа,0,0.338,0.2268,0.3829,0.3996
203,11,Исмоили Сомони,3.714,14,77.67,3.0,7.0,9,Обычная школа,0,0.3783,0.29,0.2549,0.3407
204,11,Исмоили Сомони,4.736,10,82.566,7.0,2.0,11,Лицей/гимназия,1,0.6499,0.4402,0.6877,0.7566
205,11,Исмоили Сомони,4.425,7,72.587,6.0,3.0,12,Лицей/гимназия,1,0.5532,0.3683,0.5059,0.5403
206,11,Шохмансур,4.062,6,79.024,5.0,5.0,16,Лицей/гимназия,0,0.4158,0.1689,0.542,0.1506
207,11,Шохмансур,3.674,12,75.182,3.0,7.0,11,Обычная школа,0,0.3105,0.1816,0.1443,0.2068
208,11,Исмоили Сомони,4.114,9,74.457,4.0,4.0,9,Обычная школа,1,0.4516,0.4186,0.4755,0.3933
209,11,Фирдавси,4.525,14,83.225,7.0,3.0,12,Лицей/гимназия,1,0.4584,0.4265,0.2308,0.7263
210,11,Шохмансур,4.41,9,79.955,6.0,5.0,14,Лицей/гимназия,1,0.5124,0.3091,0.6308,0.2997
211,11,Фирдавси,3.86,13,80.804,3.0,6.0,10,Обычная школа,0,0.179,0.1107,0.1597,0.2937
212,11,Фирдавси,3.541,8,77.721,4.0,6.0,9,Обычная школа,1,0.336,0.306,0.1423,0.2812
213,11,Сино,4.001,11,73.196,4.0,5.0,9,Обычная школа,0,0.4064,0.2308,0.3558,0.2652
214,11,Исмоили Сомони,4.547,21,85.216,6.0,4.0,4,Лицей/гимназия,1,0.4807,0.3092,0.398,0.4248
215,11,Исмоили Сомони,4.758,18,89.437,6.0,5.0,6,Лицей/гимназия,1,0.6679,0.466,0.8561,0.5134
216,11,Сино,4.176,17,84.96,7.0,5.0,7,Лицей/гимназия,1,0.4781,0.2591,0.5722,0.5266
217,11,Сино,4.379,16,80.023,4.0,4.0,9,Обычная школа,0,0.5981,0.4782,0.6003,0.399
218,11,Сино,3.965,12,78.94,3.0,6.0,11,Обычная школа,0,0.4483,0.1507,0.3088,0.28
219,11,Исмоили Сомони,4.364,13,79.458,6.0,4.0,11,Лицей/гимназия,1,0.4452,0.1188,0.4351,0.3269
220,11,Исмоили Сомони,3.774,17,78.949,4.0,6.0,9,Обычная школа,1,0.3277,0.2577,0.2083,0.4057
221,11,Исмоили Сомони,3.688,8,82.154,4.0,6.0,14,Обычная школа,0,0.2924,0.3289,0.1625,0.3318
222,11,Шохмансур,4.199,10,77.512,4.0,4.0,11,Обычная школа,1,0.4075,0.322,0.0543,0.451
223,11,Фирдавси,4.284,10,76.836,5.0,5.0,11,Обычная школа,1,0.4173,0.1284,0.3451,0.3076
224,11,Фирдавси,3.794,15,79.598,5.0,4.0,12,Обычная школа,1,0.4839,0.3643,0.351,0.5595
